Artist,Description,Title,user_tags,Ivan Cluster 1,Ivan Cluster 2,Ivan Cluster 3,Vincent Cluster 1,Vincent Cluster 2,Vincent Cluster 3,Marie Cluster 1,Marie Cluster 2,Marie Cluster 3,Kathleen Cluster 1,Kathleen Cluster 2,Kathleen Cluster 3
Joan Brassil,"For the sculpture Randomly – Now and Then, Joan Brassil wired solid rock to electronic components that cause their crystalline structures to vibrate at their resonant frequency. The rock cores, drilled from deep within a mountain, ‘sing’ with their own resonant energy between periods of unexpected silence. The diorite cores hang from microphone stands, sounding at random intervals, connecting lines of sight and sound between object and viewer. Hearing them sound is a reminder of the deep processes of energy transformation from molten lava to igneous rock that formed them. Brassil has noted that “this work is a measure of time, from when the rocks were formed – to one nocturne”.1

The observation of the natural world – of metamorphosis, symbiosis and the transference of energy from one state to another – are the hallmarks of Brassil’s practice. In other works she used oscillators and modulators to create soundscapes from the tones of pulsars, which are the remnants of dead stars. Brassil collaborated with scientists, astronomers, dancers and computer programmers in a number of works, blending scientific enquiry and experimentation with poetry, dance and sculpture. Her installations are poetic explorations of our place in the universe and our relation to time and space, which she suggests is never linear and can never be fully plumbed. The sense of wonder and philosophical curiosity that infuses her practice melds art and science, the tangible and intangible, to make space audible and time visible. Using sound, electronics, gravel and stone, Randomly – Now and Then spans cosmic and terrestrial time, resounding from the ancient geologic upheavals that formed the earth to the present moment ringing in our ears.",Randomly - Now and Then,,,,,,,,,,,,,
Lauren Brincat,"Lauren Brincat’s video Hear This depicts the artist alone in her studio during a residency in Berlin, speaking on a telephone to her mother back in Australia. The telephone is made from watermelon wedges that the artist slices and consumes as she speaks, literally eating her own words in a forlorn yet comical representation of homesickness. As the video progresses, the watermelon soaks Brincat’s clothes and dirties her hair and face, creating a disquieting and awkward performance.

Sound plays a significant role in Hear This, as in many of the artist’s works. The soundtrack acts as an emotive device, drawing on both personal and cultural recollections. Unassuming noises such as the cutting of a slice of melon, or a seed falling onto the wooden floor, take on greater importance in the video, emphasising both the solitude of the figure and the intimacy of the performance. Brincat’s other video works often document repetitive actions performed by the artist – walking, eating, talking, rowing a canoe. Acknowledging performance art of the 1970s as an inspiration, Brincat describes her works as pushing “physical and cognitive limits”. Previous works have seen the artist hold onto the edge of a diving platform above a swimming pool for as long as possible, play a drum kit raised metres above the ground, or walk for a distance in a field of fog.

Brincat also frequently uses inanimate objects as totems. Everyday items take on deeper significance to reference wider concepts including personal memories, particular sentiments or emotions, and art-historical events. In Hear This, the watermelon, an expensive luxury brought during a cold winter in Berlin, takes on wider connotations of home, childhood, summer and Australia.",Hear This,,,,,,,,,,,,,
Louisa Bufardeci,"The representation of the world that Louisa Bufardeci creates in Ground Plan is based on the distribution of people world-wide. Each nation is shown relative in size to its population, so Australia, with its proportionally small population, is shown dwarfed by its neighbour, Indonesia, with its much larger population. In a traditional world map, these positions would be reversed and Indonesia’s archipelago of islands would be dwarfed by Australia’s far greater landmass. But even this rendering of what we assume to be a geographical fact is unstable. The Mercator projection of the world, developed in 1569 and widely used ever since, misleadingly makes those countries further from the equator look bigger, and those closer to it, smaller. In this and other works, Bufardeci questions the veracity of our representations of global geography and politics, basing her wall drawings, installations and sculptures on statistical data acquired from UNESCO, national censuses, opinion polls and the CIA World Factbook.

In Ground Plan, Bufardeci pictures global population distribution as a series of rooms in a sprawling complex of buildings, each with its door open. The porous boundaries between each room and its neighbour suggest a free passage between borders that is not always reflected in today’s geo-political landscape. The movement of resources, commodities and people between nations and across borders is under constant surveillance and negotiation, with doors and borders closing or reopening with each new war, refugee crisis, trade pact and peace agreement. Bufardeci’s wall work shows a rendering of quantitative data as an architectural plan rather than a pie chart or column graph or the sorts of diagrams in which statistical information is generally represented. Her mapping of the global relationship between people and the space they inhabit is one that reflects on not only the unequal distribution of population, but, consequently, of wealth, resources and power.",Ground Plan,,,,,,,,,,,,,
Ian Burn,"The surface of Blue Reflex recalls the glossy paint job on a car, transposed from the aerodynamic curves of a speeding vehicle to the still surface of a painting in a gallery. In his use of automotive paint applied by airbrush to a plywood base, Ian Burn has purposely created an object that betrays no sign of the hand of the artist. Unlike his previous monochrome works of blue acrylic paint on stretched canvas, Blue Reflex eliminates the textured weave of canvas and the grooved strokes of the brush. Its shiny, mirror-like finish reflects the environment around it, and those who view it. Glimpsing themselves in the patina of the high-gloss paint, the viewer momentarily becomes a part of the artwork.

In this use of reflectiveness, Burn expands upon the modernist idea that an artwork should be about the conditions of its own production. Kazimir Malevich manifested this idea when he created the monochrome and non-objective painting, Black Square in 1913. Rather than reflecting an external reality, Malevich’s painting – and the abstract works that followed it – redefined art as an object that could be concerned only with itself, with its own medium and materiality. Blue Reflex continues in this vein of self-analysis and critique, but brings another layer of critical awareness in its use of a polished surface that reflects not only the reality around it but the viewer who views it. In inviting the viewer to reflect upon themselves as they interact with art and the gallery environment, Blue Reflex implicates the viewer in not only the reception but the production of art, making the artwork both an object and an experience. In creating this shift from a perceptual to a conceptual appreciation of the object in Blue Reflex, Burn argues for a critical awareness about what art is, how it can be perceived and what role and function it plays in society.",Blue Relfex,,,,,,,,,,,,,
Bob Burruwali,"Bob Burruwal’s three-metre-tall Morning Star Pole is an impressive symbol of the important Marradjirri ceremony of Arnhem Land. Lasting for two to three weeks, the Marradjirri ceremony brings together two groups to strengthen social and economic ties. One group invites the other, who then prepares to perform the ceremony on the lands of the host. Central to the Marradjirri is the morning star pole, which the invited performers construct, decorate and transport. The dancers perform for two to three hours each sunset, their bodies adorned with ochre-painted clan designs that grow increasingly elaborate as the ceremony continues. The morning star pole appears on the final night and the dancers engage with it by working the feathered strings. After its presentation to the host group, the pole is set into the ground while the head song-man chants a list of clan names associated with the travels of the creation ancestors.

 Burruwal’s Morning Star Pole – festooned with cuffs of feathers in orange and black, green and yellow, and a range of white – evokes the grandeur of this ceremony. Three sets of feathered strings animate the pole by suggesting its action during the Marradjirri, while the clustering of feathers speaks to the constellations of the night sky and the bands of tightly bound coloured string the rhythms of song and dance.

 Burruwal is renowned for his fibre and wood creations, and for sculpting ‘willowy, animated depictions’ that can be ‘imagined as spirits gracefully traversing the tropical savannah landscape of the Northern Territory’.[1] The beauty of his morning star pole lies not only in its ceremonial function, but in its combination of distinct textures – kurrajong wood, fibre, ochre and the feathers of local birds. Like all Maningrida artists’ works, Burruwal’s pole uniquely contrasts the ephemeral and permanent, with the fragility of the feathers balancing the strength of the kurrajong.",Morning Star Pole,,,,,,,,,,,,,
Stephen Bush,"The contemplative gentleman and the lofty landscape he surveys in In search of a style recall a painting style that was over one hundred years old when Stephen Bush painted it. The subject and style of the work are typical of nineteenth-century European and American landscapes that depicted the ‘new worlds’ of Australia and America in picturesque vistas that idealised their wildness and beauty. Inspired in part by the literary movement of Romanticism, which sought man’s redemption through exposure to nature and the experience of the sublime, the solo traveller/explorer beholding an awe-inspiring landscape was a popular theme at the time.

The central figure in Bush’s painting appears in the guise of a puffy, buckskin-wearing bourgeois adventurer. Eager to embrace the unknown whilst staking economic and social claims in the name of progress, this pensive man embodies the ambiguity of such personal pursuits. As claimer, conquerer, and civiliser he stands surveying the vast possibilities that Nature affords, while mourning its irrevocable loss. The inherent duality of this civilising impulse, and its historical representation, is sardonically pilloried in Bush’s painting. He elides the artist’s vocation with that of the heroic settler/explorer, who balanced the constant see-saw of boom and bust.

Bush reiterates this style in many of his paintings to work through the legacies of colonialism, particularly in terms of Australian history and identity, but also to tease out the entwinement of history and visual culture. The paintings which both produced colonial history and are a product of it continue to line the walls of Australian galleries, competing for attention against other more recent styles which will one day also uniquely manifest their own historical moment.",New Worlds,,,,,,,,,,,,,
Stephen Bush,"The lure of Paris is an ongoing series of monochrome paintings that replicate the same image – a dramatically rocky seascape in which three stuffed Babar elephants abseil between clifftop and sea level. Each painting in the series is an original, painted from memory, with the same title; each differentiated only by its serial number. The imagery of the painting is a curious collision of serious ‘high art’ Romantic landscape and ‘low art’ popular children’s illustration. The fictional elephant depicted is Babar, a French children’s book character created in 1931 by Jean de Brunhoff. The story of Babar, who leaves the African jungle to be westernised in an unnamed city before returning to rule over his fellow elephants, can be read as a narrative of colonialism. With his natty three-piece suit and penchant for red wine and sculpture, Babar brought a very French form of western civilisation to his herd. Perhaps, as Bush suggests in the title of this work, Babar is also beholden to Paris, the locus of French culture, and its lure of style, order and bourgeois living.

Foreign elements are at work in the image – elephants in European suits, children’s book characters in a Romantic landscape – but Bush reconciles the tension between them by treating the figure of Babar as a realistic element, dramatically lit by the sunlight breaking through a cloudscape. Displaced from the simple line drawings of children’s illustration, as well as from Africa and his ‘pre-civilised’ nature, Babar has fully entered into the rhetoric of colonial imagery as a cultured adventurer taming the wilderness. Bush’s image articulates an odd nostalgia not only for the outdated products of a colonial past, but also for the hard-working nineteenth-century artists who churned out images of well-dressed gentleman explorers in distant lands.",The Lure of Paris,,,,,,,,,,,,,
Elaine Campaner,"Christmas Island is from the 2005 series Lapped by Elaine Campaner, which addresses the artist’s feelings about Australia’s border protection policies. Campaner’s photograph of a doll fenced behind cyclone-wire mesh conveys the isolation of Pacific Island internment camps, the anonymity of their holding cells and the plight of the so-called ‘boat people’. The work is a response to the Australian Government’s refusal to allow journalists to photograph or film refugees arriving by boat; as Campaner says: ‘part of my project was to make an historic record via constructed photos, which I thought of as “illegal photos”.’[1]

In this and other works, Campaner constructs the scenes she photographs from everyday, domestic objects – knick-knacks, painted plates, dolls and other toys. The sometimes distant world of public affairs and political issues is thus ‘brought home’ via familiar household things and their theatrical representation of a personal viewpoint. The surprising transformation of these objects in convincing scenarios results in often subversive works that reveal a hidden dimension within everyday materials, a sometimes sinister edge to the throwaway items of material culture.",Christmas Island,,,,,,,,,,,,,
Maria Cardoso,"The woven nets of sea stars suspended from the ceiling in Woven Water, Submarine Landscape hang in the air like the ghosts of burst fireworks, a skeletal memorial to an explosive and momentary energy. The dead sea stars that Maria Fernanda Cardosa has used in her installation are found in tropical waters around the world and sold as souvenirs in coastal resorts and towns. Cardosa was living in San Francisco when she made this work, where sea stars sold as mementoes of Fisherman’s Wharf are sourced from as far away as the Phillippines. This kind of intercontinental drift – whether through trade, migration or ocean currents – is familiar to Cardoso, who has lived in South America, North America and Australia. In this work, she presents a congregation of aquatic life forms outside of their natural habitat, dried and bleached in the foreign element of air.

The five arms of the sea stars join to form symmetrical clusters that branch across space in uniform but organic progression.  Their connections form irregular shapes that suggest the constellations of galaxies as they wheel around our planet, or the changing energy of water as it surges and laps at sea and shore. As they twist and furl in their interconnectedness, Cardoso’s sculptures resemble other life forms and phenomena – a spider’s web, a bird’s nest, an insect’s cocoon.  Like bones and fossils, these remnants of living creatures are a kind of memento mori that invites us to reflect on death and its other, life. In its repetitive structure, Woven Water, Submarine Landscape bridges the macrocosm of sky and sea and the microcosm of cellular building blocks that, like the twisting helix of DNA, form the foundations of life.",Woven Water,,,,,,,,,,,,,
Maria Cardoso,"The hundreds of dried corncobs that Maria Fernanda Cardoso has threaded on one long thick wire in Corn Cob Coil are vestiges of the fertile soil of Bogota, Colombia, where she was born. Through this choice of materials, Cardoso infuses the visual languages of minimalism and conceptualism with a specific reference to her continent of origin. Now based in Australia, Cardoso’s work explores the natural world and its interdependence with the human world using plant and animal materials in sculptures, installations and videos. Corn has been an important resource for Colombia since it was first domesticated as a crop over 6000 years ago. A staple food across the Americas, corn has a variety of pre-Hispanic mythological associations as well as contemporary connections to region and culture. Today, it is intensively cultivated in genetically-modified form to produce biofuel, and high-fructose corn syrup, the environmental and health impacts of which are now being reassessed.

Cardoso’s sculptural coils of dried corncobs evoke the central importance of corn in everyday pre-Hispanic and Hispanic Colombian life and the diversity of economic and cultural uses to which it can be put. The minimalist simplicity of Corn Cob Coil is enlivened by the varying colours and textures of the multi-coloured Indian corn or Flint corn (Zea mays var. indurate), a variety of corn domesticated before the yellow corn we are familiar with. Stripped of their seeds, the corncobs are the skeletal remains of a life-sustaining crop that speaks directly to the heritage and collective identity of Hispanic Latin America.",Corn Cob Coil,,,,,,,,,,,,,
Maria Cardoso,"In On the Origins of Art I-II Maria Fernanda Cardoso explores the art forms of the animal world through the mating rituals of a tiny Australian spider. Her subjects are Maratus, the highly visual eight-eyed jumping spider know by the common name ‘peacock spider’. Like peacocks and birds of paradise, the male Maratus has developed a complex system of courtship display that exhibits its prowess as a dancer, musician and visual artist. Cardoso has recorded their ostentatious mating ritual using HD macro cinematography and a laser vibrometer, capturing their conspicuously colourful dance and the distinctive beat they make with their vibrating abdomens. Unlike a nature documentary’s depiction of species in their natural habitats, Cardoso films the spiders’ rituals against a stark white backdrop, emphasising the aesthetic beauty and the choreographic nature of their courtship.

Projected onto two screens on opposing walls, the male Maratus is seen waving its legs to get the female’s attention. They strut and sway to their own accompaniment – a percussive beat that is amplified as a hyper-real sound with a tactile dimension. The climax of the Maratus’ performance is the unfolding of an abdominal flap that fans out in an iridescent array of colours, like a peacock tail, which you can see more clearly in the two prints that accompany the video. If impressed by the male’s artistry, the female will allow him to approach her. In presenting an art form of performance and display that is not created by, or for, humans, Cardoso argues that humans are not alone in their production and appreciation of the arts. The performing spiders that make these artworks are the product of an evolutionary process of sexual selection that has refined and enhanced their sensory apparatus, creating a discerning aesthetic sense controlled by the females, in which each performance’s aim is to perpetuate life over to the next generation.",On the Origins of Art,,,,,,,,,,,,,
Gary Carsley,"The two figures of Labyrinth chase each other over a cartoon-like maze that is part street map and part children’s boardgame. The simple and highly stylised design employed by Carsley, with its branching pathways, directional arrows and hidden numbers, resembles a snakes and ladders board. The labyrinth traced by the arrows moves multi-directionally from the spot marked ‘you are here’ through a territory of picture book medieval towers to no discernible end point. Overlaid on on this busy map are two cut-out figures caught mid pursuit, frozen in a game of kiss-chasey. Their age and sex indeterminate, they suggest the push and pull of human relationships as they simultaneously flee and embrace each other.

The flattened two-dimensional plane of both the figures and the background in Carsley’s painting are similar in style to those of Keith Haring, whose works were inspired by the street art and graffitti of New York. While Haring’s work is directly identified with its own moment – the 1980s and AIDS activism – Carsley’s Labyrinth looks back to a distant past. The grey toned background is peppered with stylised renditions of  the arches and domes of Romanesque architecture, and its central place finder is marked in Gothic script. Flies, rats, frogs and a deaths-head evoke medieval imagery of plague and pestilence – perhaps as an oblique reference to the scourge of AIDS that struck in the 1980s, sometimes compared to the Black Death that ravaged medieval Europe.

The labyrinth of Greek mythology, where Theseus bested the Minotaur, was a dangerous place of entrapment and confinement, where monsters lurked and only the cleverest escaped unscathed. Carsley’s Labyrinth appears to be a more frivolous game, but at its centre lurks a darker spectre, warning of the dangers inherent in taking the wrong turn or following the wrong path as we chase our desires.",Labrynth,,,,,,,,,,,,,
Gordon Bennett,"John Citizen is the pseudonym of the artist Gordon Bennett; it’s a name chosen to suggest Mr Average – the Australian everyman of no stated colour or creed. Working under this name rather than his own allowed Bennett to experiment and indulge in other streams of thought in his multi-disciplinary practice. It served as a counterpoint to Gordon Bennett, his ‘other’, and yet they are one and the same. It also served as a mechanism through which he was able to sidestep some of the challenges of identity politics and the categorisation of his works within the confines of race. When Bennett is labelled an ‘Aboriginal artist’, he is ‘othered’ as an Aborigine and all the preconceptions that that entails. John Citizen lets Bennett take his Australian citizenship and cultural upbringing back from the nether world of the imagined ‘other’. Bennett refused to be stereotyped as an Indigenous artist, which he believed equally misrepresented his Scottish/English parentage. The alter-ego of John Citizen is not a denial of Bennett’s cultural heritage; rather, it is a way of shifting the interpretation of art away from the artist to the artwork itself.

The pop-art-inspired painting Interior (Orange Chair) depicts the kind of minimal, modernist décor found in interior design magazines and ‘lifestyle’ designer catalogues. Canvassing stylish and opulent imagery from the public domain, the work is devoid of detail and shading, and resembles a screenprint in its flat blocks of colour and graphic simplicity. On the feature wall of the room, above a tasteful display of cushions, hangs a painting from one of Bennett’s own series of abstract works. John Citizen thus borrows the work of Bennett and incorporates it into his own; it’s a form of appropriation which shows that Bennett’s painting – whatever its cultural origins – is at home anywhere in the world.",John Citizen,,,,,,,,,,,,,
Tony Clark,"1992 is comprised of 18 small paintings on canvas boards installed in three rows of six. They feature an organic line that flows across the panels, creating vivid curving forms that switch colour when they cross onto an adjacent board. Clumpy trees feature in some of the panels and their colouration also shifts sharply when intersected by the curving line. The natural forms are clearly secondary and subsumed by the overall aesthetic.

Tony Clark is known for his vivid serialised landscapes that mix and match elements from disparate art historical and design traditions. In 1992 Clark takes the genre of landscape painting and infuses it with decorative design as well as ideas central to late modernism, including abstraction, minimalism and conceptual art. Several of the panels are entirely abstract, devoid of naturalistic features, using a visual language of shape, form, color and line to create a composition. The painting on the lower right is a yellow minimalism monochrome. The form of the work, composed of multiple objects in a series, is aligned to conceptual art in which the concept or idea involved in the work takes precedence over traditional aesthetic and material concerns. However, the psychedelic colours and curving forms are typical of 1960s design in graphics, interiors and fashion.",1992,,,,,,,,,,,,,
Lorraine Connelly-Northey,"Waradgerie (Wiradjuri) country in central New South Wales is vast, with hills in the east, river floodplains and grasslands in the interior and mallee to the west. It is known as Three Rivers Country, as the Murrumbidgee, Kalari (Lachlan) and Wambool (Macquarie) rivers course through it, teeming with life. But as the colonial frontier spread west from Bathurst in the early 1800s, the Three Rivers Country was surveyed and cleared, dissected and demarcated, and kilometres of fencing spread through Waradgerie land like cracks through ice.

In her epic installation Three rivers country Lorraine Connelly-Northey wrestles with this history, employing the objects of western industry to map her country. The materials she uses marry the two foundations of her practice: the heritage of her Waradgerie mother and the heritage of her Irish father. While her father encouraged her use of discarded materials, it was as a young child with her mother that she honed her fine handiwork skills through crocheting and sewing. As Connelly-Northey explains: ‘I set out to ensure that however my art developed it would represent my parents equally.’1

In this work the snaking rivers dominate, shifting from rusted rippled iron and the delicate open weave of agricultural fencing to the familiar lacework of rabbit-proof wire. Tying these forms together are coolamons: oval-shaped bowls that form both the riverbanks and the great, cultivated plains of the interior. The work, says Connelly-Northey, ‘pays homage to my mother’s knowledge of water on country … [and represents] the land of the “Waradgerie Winnowers”.’ But it also speaks to her mother’s life experience, ‘born and raised on the banks of freshwater rivers’ in shanties patchworked together with discarded materials like those Connelly-Northey uses in her works of art.",Three Rivers Country,,,,,,,,,,,,,
Timothy Cook,"The title of Timothy Cook’s work Kulama relates directly to the Tiwi initiation ceremony of the same name traditionally performed in the early dry season when the ‘cheeky’ round yam, kulama, is harvested. The circular motif suggests the ceremonial dancing ground, the round fire-pit in which the yams are cooked and the rings that become visible around the full moon at the time of kulama.

For the Tiwi, individual interpretations of Jilamara (design, pattern and colour) remain very personal aesthetic responses to Tiwi culture and the Kulama and Pukumani (funeral) ceremonies. In addition, artists find inspiration in everyday activities such as hunting, fishing and painting. At Jilamara Arts & Crafts Association on Melville Island the artists are bound by close kin relationships in which they support and encourage, as well as challenge, each other’s arts practice.

Along with his community of artistic peers, an early inspiration for Cook were reproductions of Tiwi bark paintings commissioned by the anthropologist Charles Mountford in 1954. Since 1996 Cook has explored the elemental forms of Jilamara and Kulama found in the Tiwi archive with a raw immediacy, developing his own distinctive style of intense dotting, striking blocks of colour and expressive gestural marks. Shifting between magisterial canvases and works on paper such as Kulama, Cook has exploited the full potential of scale in his work along with the textural materiality of natural ochre, a marker of Tiwi country.",Kulama,,,,,,,,,,,,,
Sophie Coombs,"Sophie Coombs’ multi-disciplinary artistic practice includes drawing, the production of artist’s books, sculpture and installation.

These intricately drawn works on paper testify to an obsessive, detailed drawing practice, on which the artist works for concentrated periods of time. For Coombs, ‘metaphysical drawing’ is a meditative activity as well as a way of comprehending the imaginary and the material world. Thoughts are reproduced as patterns, and drawing becomes a form of writing, akin to keeping a journal. The link between stream-of-consciousness and the activity of the hand is paramount.

Starting with a blank piece of paper, and using felt and fountain pens, Coombs gradually fills the surface with small conjoined freehand circles that play with difference in line, texture and tone. Working on a drawing over a period of months, Coombs’ composition as she describes it will ‘unfold’. The immersive process is the key rather than the pursuit of a particular result.","Untitled sc/ab/102/2001, 2001",,,,,,,,,,,,,
Sophie Coombs,"This intricately drawn work on paper is the result of an obsessive, detailed drawing practice, in which the artist works for concentrated periods of time. For Coombs, ‘metaphysical drawing’ is a meditative activity as well as a way of comprehending the imaginary and the material worlds. Thoughts are reproduced as patterns, and drawing becomes a form of writing, akin to keeping a journal. The link between stream-of-consciousness and the activity of the hand is paramount.

Starting with a blank piece of paper, and using felt-tip and fountain pens, Coombs gradually fills the surface with small conjoined freehand circles that play with difference in line, texture and tone. Working on a drawing over a period of three to six months, Coombs’ composition will, as she describes it, ‘unfold’. The immersive process is the key rather than the pursuit of a particular result. Although Metaphysical Drawing is essentially abstract, the emergent pattern takes on the appearance of a landscape.",Metaphysical Drawing,,,,,,,,,,,,,
Peter Cripps,"Peter Cripps’ Another History for H.B. and R.L. references Austrian artist Herbert Bayer (H.B.) and the Australian scholar Robert Lingard (R.L.). Lingard is a professor of education who, like Cripps, is interested in the speculative nature of culture and ideas. Bayer was an artist who taught for a time at the Bauhaus in Germany during the 1920s and then in the United States where he continued to advocate for artistic pursuits that were integrated into the fabric of a modern industrialised society.

Bayer was well known for his graphic design but also his ground-breaking exhibition displays. In the form of a drawing he proposed a radical viewing experience that encircles the viewer in a fragmented yet enclosed space. Cripps’ work realises Bayer’s drawing into a three-dimensional form with flat panels and the addition of mirrored surfaces that critique the system of viewing objects from the front. By re-creating Bayer’s proposal, Cripps’ work considers the role of history in art and how ideas from the past can travel with people and through time.",Another History for H.B. and R.L,,,,,,,,,,,,,
Adam Cullen,"With its bold but simple composition, startling use of colour and raucous brushwork, Pirate is a classic example of Adam Cullen’s painterly technique and his fascination with the renegades, mavericks and tragic characters on the edges of society. These outsiders often formed the subject matter of his bold and provocative paintings. Raw and expressive in style, these works combine satirical, irreverent humour with relentless honesty to re-examine contemporary society.

Cullen’s pseudo-naïve style and use of offensive or abject materials aligned him with the Sydney grunge movement of the 1990s and established his early reputation. His work is challenging and often aggressive in both its subject matter and execution, addressing social issues such as racism, oppression and corruption. Cullen considered his investigations of the darker side of humanity as honest examinations of his environment, resulting in work that is unforgivingly dystopian, yet with a unique, painterly beauty. In Pirate, Cullen’s depiction of the melancholic romanticised anti-hero, with his downcast blackened eyes, is perhaps evocative of failed endeavours, of an impenetrable inner world, and of the darker sides of the psyche and society.",Pirate,,,,,,,,,,,,,
Aleks Danko,"Aleks Danko describes the face in this painting as that of an idiot. This brainless, disembodied head is a recurring motif in his work, first appearing in Taste in 1988 and again in the installation Taste: the DUH-HEADS in 2013. With its staring eyes and foolish grin it could register any emotion, from surprise to terror to embarrassment. Danko uses it to signify a kind of mindlessness, clustering a number of the vacantly staring faces in his installations to create a sense of a mob mentality; the unthinking and unblinking conformity of the crowd. 

The face itself has an important historical precursor: it is based on a child-like drawing in Plate 1, ‘The sculptors yard’, from the book The Analysis of Beauty (1753) by the English artist William Hogarth. Hogarth’s analysis centred on what he called ‘the line of beauty’ – a serpentine S-shaped curve that created elegance, grace and variety in composition. That line is entirely absent from Hogarth/Danko’s simple red face, originally used by Hogarth to demonstrate the artistic simplicity of a naive style, ‘composed merely of such plain lines as children make’ and displaying ‘the most contemptible meanness that lines can be formed into’.[1]

These kinds of aesthetic judgments and pronunciations on beauty made by satirists like Hogarth are precisely what Danko embraces and employs in his art practice. Danko reprises the simple drawing as a wood and steel sculpture that refers to the history of his own use of the motif, and also to its longer history as an example of the ‘unartistic’, to continually critique any imposed idea of ‘good’, ‘bad’ or constructed taste. The recurrence of this face in Danko’s work is a reminder of the importance of independent thought, outside the bounds of convention and conformity.",Incident-Ambivalence,,,,,,,,,,,,,
Aleks Danko,"The miniature cast aluminium house that tops the steel obelisk in DAY IN DAY OUT (epitaph version) is a recurring motif in Aleks Danko’s work.  In its symmetry and simplicity, in which two windows flank a door centred beneath a gable roof, it is the very archetype of ‘home’.  The idea of home, and its associations with identity, comfort and complacency, is a concept subjected to constant scrutiny in Danko’s work.  As the Australian-born son of immigrants, Danko’s childhood home in Adelaide was an enclave of the Ukrainian traditions and Russian language of his parents. Working at a local rubber factory, Danko’s parents conformed to the great Australian dream of home ownership and a life of stability and security in the suburbs. Danko’s installation of the four framed works surrounding the obelisk in DAY IN DAY OUT (epitaph version) is a deadpan tribute to his father, who caustically described his life as a pensioner in terms of ‘Day in, day out, twenty-four hours closer to death.’

The bleak life-cycle that Danko describes in the framed words Birth, School, Work and Death can apply to all walks of life, not just one lived in the suburbs. But with the child-like bungalow at its centre, Danko draws these life stages within the orbit of the one place – the suburban home. A deep ambivalence thus inhabits this deceptively simple work because, in the Australian cultural imagination, the middle-class suburban home can be either a place of refuge or a place to leave; a source of comforting security or crushing conformity.  DAY IN DAY OUT (epitaph version) could, then, be either a tribute to traditional values or a monument to monotony. In his simple statement of four words, Danko summarises the sameness of everyone’s lives, no matter where or how they are lived, what they achieved or what they aspired to. In encapsulating the predictable passage of any existence, DAY IN DAY OUT (epitaph version) proclaims a liberating resignation to life’s essential structure and its inevitable conclusion.",DAY IN DAY OUT,,,,,,,,,,,,,
Juan Davila,"Portrait of Bungaree is an example of Juan Davila’s distinctive and dramatic collage paintings from the 1980s and 90s. It features quotations from art history and popular culture, and connects with a history of hybrid modernism in Latin America, where Davila was born.

Bungaree was an Australian Aboriginal man who came from Broken Bay, just to the north of Sydney. He was a familiar figure in early colonial Sydney, who welcomed the newly arrived to his land on Sydney Harbour and acted as a mediator between the European and Indigenous communities. Bungaree accompanied Matthew Flinders during his circumnavigation of Australia, from 1801 to 1803, playing a key role in the survey’s success as interpreter and negotiator with Indigenous groups along the coast.

In Portrait of Bungaree, Davila uses multiple and fragmented references to question the hierarchies applied to images and cultural material, challenging the dominance of European and American art from the perspective of Chile (Davila’s birthplace) and Australia, where he later lived. For many years Davila has brought to high art the visual language of the street: tarot cards, comic strips, pornography, political cartoons and cheap souvenirs. His subjects are often people of ambiguous gender, mixed race or, as is the case with Bungaree, marginalised social status. In Portrait of Bungaree and other works Davila questions public attitudes to identity and sexuality, presenting incisive analyses of what he views as the complacency, monotony and questionable ethics of much contemporary culture.",PORTRAIT OF BUNGAREE,,,,,,,,,,,,,
Super Critical Mass,"Moving Collected Ambience is a sound work designed specifically to respond to the collection, galleries and new building of the MCA, Sydney. The work was commissioned by the Performance Space and the MCA as part of the Sonic Social performance season and premiered on the 14th and 15th of June 2014 throughout the level two galleries of the MCA. It was created and directed by Julian Day and Luke Jaaniste as part of their ongoing project Super Critical Mass. 

For this performance-installation a large and diverse group of volunteer participants are brought together to create a field of simple vocal sounds for the duration of one hour. There is no set number of vocalists but generally it includes between 50–100 individuals who are following memorised instructions. Their vocalisations vary between open or closed mouths, high or low notes, individually sung or in unison, depending on the proximity to other singers and also to the artworks. They move throughout the gallery spaces, gathering in specific rooms over this time, moving individually or clustering in groups of two or three. The participants are virtually indistinguishable from other members of the public and adopt the meandering route and unfocused, yet constantly refocusing, gaze typical of gallery visitors.

Super Critical Mass deals with the nature of community building and how groups of unrelated people move towards a common consensus despite their differing identities. Moving Collected Ambience creates a temporary and intangible experience dealing with the overlap between sound, space and social relations within the MCA galleries.",Moving Collected Ambience,,,,,,,,,,,,,
